city,AQI,PM2.5,PM10
北京,0,39,0
上海,19,10,19
天津,103,77,95
杭州,55,26,59
广州,63,42,76
成都,21,13,21
南京,53,34,56
西安,31,4,14
武汉,19,7,19
鞍山,46,31,46
安庆,36,14,36
安阳,67,48,82
阿坝州,52,22,53
安顺,22,13,22
阿里地区,34,10,20
安康,36,21,36
阿克苏地区,67,11,83
阿勒泰地区,30,7,9
阿拉善盟,46,16,23
北京,0,39,0
保定,82,60,91
包头,0,39,0
巴彦淖尔,47,23,47
本溪,58,41,53
白山,38,24,38
白城,29,20,24
蚌埠,25,17,22
亳州,48,33,47
滨州,80,16,110
北海,15,10,12
百色,52,36,54
巴中,19,13,16
毕节,0,32,0
保山,38,19,38
宝鸡,25,13,25
白银,52,16,53
博州,112,24,173
承德,49,30,49
沧州,68,49,72
长治,60,41,70
赤峰,56,26,62
朝阳,0,81,0
长春,59,42,68
常熟,12,6,5
常州,59,42,54
滁州,0,24,0
池州,27,16,27
长沙,28,13,28
常德,19,12,19
潮州,56,22,62
崇左,57,36,64
重庆,36,17,36
成都,21,13,21
楚雄州,36,14,36
昌都地区,23,11,23
昌吉州,30,19,30
大同,0,46,0
大连,28,17,28
丹东,27,12,27
大庆,53,33,56
大兴安岭地区,18,12,17
东营,57,31,63
德州,89,66,80
东莞,39,24,39
德阳,14,5,14
达州,41,11,41
大理州,45,20,45
德宏州,52,24,54
迪庆州,23,10,18
定西,41,12,41
鄂尔多斯,49,28,42
鄂州,41,15,41
恩施州,52,26,53
抚顺,32,22,28
阜新,54,38,45
富阳,63,45,76
阜阳,23,8,12
福州,11,2,11
抚州,46,26,46
佛山,60,43,47
防城港,0,15,0
赣州,41,22,41
广州,63,42,76
桂林,38,21,38
贵港,35,24,32
广元,30,21,28
广安,35,13,35
甘孜州,0,13,0
贵阳,47,16,47
甘南州,42,20,42
果洛州,32,19,22
固原,40,22,40
邯郸,110,56,169
衡水,82,60,68
呼和浩特,59,41,68
呼伦贝尔,31,20,31
葫芦岛,73,53,72
哈尔滨,59,42,58
鹤岗,28,17,28
黑河,17,6,15
海门,25,17,22
淮安,24,9,15
杭州,55,26,59
湖州,25,9,25
合肥,85,36,119
淮南,59,28,67
淮北,40,19,40
黄山,14,3,6
菏泽,59,31,67
鹤壁,104,78,144
黄石,32,10,32
黄冈,39,17,39
衡阳,62,44,72
怀化,55,16,59
惠州,64,41,77
河源,57,40,59
贺州,52,33,54
河池,0,18,0
海口,35,14,35
红河州,37,13,37
汉中,28,19,28
海东地区,47,29,47
海北州,42,18,24
黄南州,30,18,30
海南州,32,18,32
海西州,38,11,18
哈密地区,40,13,40
和田地区,52,25,53
晋城,70,43,90
晋中,65,34,50
锦州,50,32,50
吉林,48,33,41
鸡西,40,28,33
佳木斯,23,11,20
金坛,82,60,73
句容,51,35,52
江阴,18,11,17
嘉兴,17,9,17
金华,48,18,48
景德镇,51,33,51
九江,21,14,16
吉安,58,38,66
济南,84,62,87
即墨,35,24,31
胶南,29,14,29
胶州,19,8,19
济宁,53,20,55
焦作,0,32,0
荆门,36,25,27
荆州,59,37,67
江门,64,33,78
揭阳,54,37,58
黔西南州,23,7,23
黔东南州,23,16,19
黔南州,19,9,19
嘉峪关,36,5,7
金昌,0,22,0
酒泉,0,12,0
昆山,34,9,34
开封,61,32,72
昆明,43,13,43
克拉玛依,54,25,57
喀什地区,119,90,95
克孜勒苏州,80,3,110
库尔勒,123,63,195
廊坊,53,24,56
临汾,59,40,68
吕梁,50,24,50
辽阳,39,27,35
辽源,48,33,36
绥化,29,6,26
连云港,0,12,0
溧阳,39,27,39
临安,42,19,42
丽水,24,14,24
